i18n=>,TW,EN,KR,JP,CN
all,全部,All,전체보기,全部,全部
exchange,交易所,Exchange,거래소,取引所,交易所
your_profit,您的盈利,Profits,수익현황,お客様の収益,您的盈利
go_to__withdrawal_address,前往出金地址,Edit Withdraw Address,이전 출금주소,出金先アドレス,前往出金地址
unbind,未綁定,Invalid,미연동,バインディングされていない,未绑定
bound,已綁定,Valid,연동완료,バインディングされている,已绑定
fdb_home,FDB首頁,Home,메인페이지,ホームページ,FDB首页
latest_news,最新消息,News,최신소식,最新ニュース,最新消息
contact_us,聯絡我們,Contact Us,관련문의,お問い合わせ,联络我们
disclaimer,免責聲明,Disclaimer,이용약관,免責声明,免责声明
privacy_policy,隱私條款,PrivacyPolicy,개인정보처리방침,プライバシーポリシー,隐私条款
personal_information,個人資訊管理,Information Management,내 정보,個人情報管理,个人资讯管理
overview_rebate,返佣交易總覽,Dashboard,리베이트,リベート取引一覧,返佣交易总览
logout,登出,Logout,나가기,ロックアウト,登出
login,登入,Login,로그인,ログイン,登入
register,註冊,Register,회원가입,新規登録,注册
exchange_not_yet_bound,交易所尚未綁定，無法查看交易總覽。,"The exchange has not been bound, and the transaction overview cannot be viewed.",거래소에 연동되지 않아 확인이 불가능합니다.,取引所バインディングされていないので取引一覧を調べられません,交易所尚未绑定，无法查看交易总览。
Taiwan,台灣,Taiwan,대만,台灣,台湾
China_Mainland,中國大陸,China,중국,中国,中国大陆
Hongkong,香港,HongKong,홍콩,ホンコン,香港
Japan,日本,Japan,일본,日本,日本
South_Korea,韓國,Korea,대한민국,韓国,韩国
Philippines,菲律賓,Philippines,필리핀,フィリピン,菲律宾
Singapore,新加坡,Singapore,싱가폴,シンガポール,新加坡
Malaysia,馬來西亞,Malaysia,말레이시아,マレーシア,马来西亚
America,美國,US,미국,米国,美国
forum,論壇,Forum,미디어,フォーラム,论坛
announcement,公告,Annoucement,홍보,公告,公告
activity,活動,Events,네트워크,キャンペーン,活动
connection_error,連線錯誤,Error,오류발생,接続エラー,连线错误
screening_time,篩選時間,Filiter Time,시간선택,時間枠を選択する,筛选时间
to,至,To,~,~,至
start_time,開始時間,Start,거래시간,開始時間,开始时间
end_time,結束時間,End,완료시간,終了時間,结束时间
filter,篩選,Filter,선택,選りすぐる,筛选
sort,排序,Sort by,정렬,順序,排序
trade_date,交易日期,Date,일자,取引日,交易日期
trade_coin_type,交易幣別,Currency Type,종목,取引通貨,交易币别
change_type,異動類別,Source Type,순서내역,異動類別,异动类别
change_number,異動數量,Amount,전송수량,異動数,异动数量
rest_number,累積數量,Total,잔여수량,残り,累积数量
currency,幣別,Currency,종목,通貨,币别
close,關閉,Close,닫기,閉じる,关闭
sort_field,排序欄位,Sort by,정렬위치,順序欄,排序栏位
start_date,開始日期,Start,시작일자,開始日,开始日期
end_date,結束日期,End,종료날짜,終了日,结束日期
sort_by,排序方式,Sort,정렬방식,並び替え,排序方式
positive_order,正序,Sort by A-Z,A -> Z,昇順,正序
reverse_order,倒序,Sort by Z-A,Z -> A,降順,倒序
personal,個人,Personal,내 자산,個人,个人
referrer,推薦人,Referral,클라이언트,紹介者,推荐人
withdrawal,出金,Withdraw,출금하기,出金,出金
activity_change,活動異動,Variation,위치이동,イベント異動,活动异动
undefined,未定義,Undefined,미확정,未定義,未定义
personal_rebate_number,個人返佣數量,Personal Rebate,나의 리베이트,個人の報酬,个人返佣数量
referrer_rebate_number,推薦人返佣數量,Referral Rebate,클라이언트 리베이트,紹介者の報酬,推荐人返佣数量
withdrawal_quantity_1,出金數量,Amount Of Cash Out,출금수량,出金数,出金数量
withdrawal_quantity_2,出金數量,Withdrawal Amount,출금수량,出金数,出金数量
week,一週,Week,일주일,一週間,一週
month,一月,Month,한달,一か月,一月
season,一季,Season,시즌,ワンシーズン,一季
filter_time,篩選時間,Filiter Time,시간선택,時間枠を選択する,筛选时间
rebate_status,返佣狀態,Condition,상태창,リベート状態,返佣状态
rebate_trading_volume,可返佣交易量,Trading Volume,리베이트 거래량,テイカー取引高,可返佣交易量
rebate_quantity,可返佣數量,Rebate Quantity,리베이트 수량,報酬,可返佣数量
no_rebate,未返佣,Surplus,진행중,保留中報酬,未返佣
be_rebate,已返佣,Completing Rebate,완료,支払済報酬,已返佣
enter_member_keyword,輸入會員名稱關鍵字,Search,선택,会員ネームの関連キーワードを入力してください,输入会员名称关键字
manage_group,管理組別,Manage Group,정렬,グループを管理する,管理组别
member_name,會員名稱,User Name,회원명,会員ネーム,会员名称
referrer_group,推薦人分組,Referrer Group,지정그룹,紹介者組分け,推荐人分组
no_group,未分組,Unclassified,미지정,組分けを分けていない,未分组
application_status,申請狀態,Condition,신청내역,申請状態,申请状态
application_number,申請單號,Application Number,신청코드,申請番号,申请单号
apply_withdrawal_time,申請出金時間,Withdraw Time,출금요청시간,申請出金時間,申请出金时间
apply_coin_type,申請幣別,Type of Currency,종목,申請通貨,申请币别
